Property Name,URI,Label,Domain,Range,Is Functional,Is Inverse Functional,Inverse Of,Sub-property Of (list),Comment
Definition_ownedView,https://www.omg.org/spec/SysML#Definition_ownedView,ownedView,Definition,ViewUsage,No,No,,Definition_ownedPart,<p>The <code>ViewUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedViewpoint,https://www.omg.org/spec/SysML#Definition_ownedViewpoint,ownedViewpoint,Definition,ViewpointUsage,No,No,,Definition_ownedRequirement,<p>The <code>ViewpointUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Disjoining_owningType,https://www.omg.org/spec/SysML#Disjoining_owningType,owningType,Disjoining,Type,Yes,No,,Disjoining_typeDisjoined | Relationship_owningRelatedElement,<p>A <code>typeDisjoined</code> that is also an <code>owningRelatedElement</code>.</p>
Element_ownedAnnotation,https://www.omg.org/spec/SysML#Element_ownedAnnotation,ownedAnnotation,Element,Annotation,Yes,No,Annotation_owningAnnotatedElement,,"<p>The <code>ownedRelationships</code> of this <code>Element</code> that are <code>Annotations</code>, for which this <code>Element</code> is the <code>annotatedElement</code>.</code>"
Element_ownedElement,https://www.omg.org/spec/SysML#Element_ownedElement,ownedElement,Element,Element,No,No,,,"<p>The Elements owned by this Element, derived as the <tt>ownedRelatedElements</tt> of the <tt>ownedRelationships</tt> of this Element.</p>"
Element_ownedRelationship,https://www.omg.org/spec/SysML#Element_ownedRelationship,ownedRelationship,Element,Relationship,Yes,No,Relationship_owningRelatedElement,,<p>The Relationships for which this Element is the <tt>owningRelatedElement</tt>.</p>
Element_owner,https://www.omg.org/spec/SysML#Element_owner,owner,Element,Element,No,No,Element_ownedElement,,"<p>The owner of this Element, derived as the <code>owningRelatedElement</code> of the <code>owningRelationship</code> of this Element, if any.</p>"
Element_owningMembership,https://www.omg.org/spec/SysML#Element_owningMembership,owningMembership,Element,OwningMembership,Yes,No,OwningMembership_ownedMemberElement,,"<p>The <code>owningRelationship</code> of this <code>Element</code>, if that <code>Relationship</code> is a <code>Membership</code>.</p>"
Element_owningNamespace,https://www.omg.org/spec/SysML#Element_owningNamespace,owningNamespace,Element,Namespace,No,No,Namespace_ownedMember,,"<p>The <code>Namespace</code> that owns this <code>Element</code>, which is the <code>membershipOwningNamespace</code> of the <code>owningMembership</code> of this <code>Element</code>, if any.</p>"
Element_owningRelationship,https://www.omg.org/spec/SysML#Element_owningRelationship,owningRelationship,Element,Relationship,No,No,Relationship_ownedRelatedElement,,"<p>The Relationship for which this Element is an <tt>ownedRelatedElement</tt>, if any.</p>"
